site_name,operator_brand,address,latitude,longitude,route_hint,direction_hint,has_24_hours,has_service_area,has_toilet,has_ev_charging_bay,included_by_filter_24h_service_area_toilet_ev,added_exception,all_features,source_url,source_file
Applegreen Lemybrien,Applegreen,"E30, Lemybrien, Co. Waterford, Kilmacthomas",52.1633864,-7.5256655,E30,,TRUE,TRUE,TRUE,TRUE,TRUE,,24 Hours | HGV | Service Area | Fast Fill | Adblue Pump | Adblue | Gas Oil Pump | EV Charging Bay | Toilet | Chopstix | Braeburn | Bakewell | Subway | Ice Cream | Car Wash | Jetwash DIY | Handwash Attended | M&S,https://locations.applegreen.com/locations/applegreen-lemybrien,applegreen.html
Ashbourne,Applegreen,"The Rath, Ashbourne",53.5238737,-6.4142718,,,TRUE,TRUE,TRUE,TRUE,TRUE,,24 Hours | Service Area | Adblue | EV Charging Bay | Toilet | Burger King | Braeburn | Bakewell | Subway | Ice Cream | New Carwash | Jetwash DIY | Brushwash Machine | M&S,https://locations.applegreen.com/locations/ashbourne,applegreen.html
Ballymount,Applegreen,"M50 Business Park, Kilnamanagh",53.3096258,-6.3532969,M50,,TRUE,TRUE,TRUE,TRUE,TRUE,,24 Hours | HGV | Service Area | Fast Fill | Adblue Pump | Adblue | Gas Oil Pump | EV Charging Bay | Toilet | Chopstix | Burger King | Braeburn | Bakewell | Ice Cream | Car Wash | M&S,https://locations.applegreen.com/locations/ballymount,applegreen.html
Birdhill,Applegreen,"Applegreen R494, Birdhill",52.7583845,-8.4084275,R494,,TRUE,TRUE,TRUE,TRUE,TRUE,,24 Hours | HGV | Service Area | Fast Fill | Adblue Pump | Adblue | Gas Oil Pump | EV Charging Bay | Toilet | Burger King | Braeburn | Bakewell | Subway | Ice Cream | Car Wash | M&S,https://locations.applegreen.com/locations/birdhill,applegreen.html
Carlow-Tullow Road,Applegreen,"Tullow Rd, Carlow",52.8311607,-6.9064481,,,TRUE,TRUE,TRUE,TRUE,TRUE,,24 Hours | Service Area | Adblue | EV Charging Bay | Toilet | Braeburn | Bakewell | Ice Cream | Car Wash | New Carwash | Jetwash DIY | Brushwash Machine | M&S | Car Mat Cleaner,https://locations.applegreen.com/locations/carlow-tullow-road,applegreen.html
Clondrinagh,Applegreen,"Clondrinagh Roundabout, Limerick, Co. Limerick",52.67578,-8.6809,,,TRUE,TRUE,TRUE,TRUE,TRUE,,24 Hours | Service Area | Adblue | EV Charging Bay | Toilet | Burger King | Braeburn | Bakewell | Subway | Ice Cream | Car Wash | New Carwash | M&S | Car Mat Cleaner,https://locations.applegreen.com/locations/applegreen-clondrinagh,applegreen.html
Clonmel,Applegreen,"Dungarvan Rd, Clonmel",52.3454292,-7.7184166,,,TRUE,TRUE,TRUE,TRUE,TRUE,,24 Hours | Service Area | Adblue | EV Charging Bay | Toilet | Braeburn | Bakewell | Ice Cream | Car Wash | New Carwash | Jetwash DIY | Brushwash Machine | Car Mat Cleaner,https://locations.applegreen.com/locations/clonmel,applegreen.html
Galway Tuam Road,Applegreen,"Tuam Rd, Galway",53.2931252,-9.0179216,,,TRUE,TRUE,TRUE,TRUE,TRUE,,24 Hours | Service Area | Adblue | EV Charging Bay | Toilet | Chopstix | Burger King | Braeburn | Bakewell | Ice Cream | New Carwash | Jetwash DIY | Brushwash Machine | M&S | Car Mat Cleaner,https://locations.applegreen.com/locations/galway-tuam-road,applegreen.html
M1 Castlebellingham South,Applegreen,"Applegreen Castlebellingham Southbound, Dromiskin",53.9232268,-6.4126151,M1,Southbound,TRUE,TRUE,TRUE,TRUE,TRUE,,24 Hours | Service Area | Adblue | EV Charging Bay | Toilet | Chopstix | Burger King | Braeburn | Bakewell | Ice Cream | Car Wash | Brushwash Machine,https://locations.applegreen.com/locations/m1-castlebellingham-south,applegreen.html
M1 Lusk North,Applegreen,"Baldrumman, Lusk",53.5371791,-6.2150106,M1,Northbound,TRUE,TRUE,TRUE,TRUE,TRUE,,24 Hours | Service Area | Adblue | EV Charging Bay | Toilet | Chopstix | Burger King | Braeburn | Bakewell | Ice Cream | Car Wash | Brushwash Machine | M&S,https://locations.applegreen.com/locations/m1-lusk-north,applegreen.html
M1 Lusk South,Applegreen,"M1 Lusk Southbound, Lusk",53.5402312,-6.2101913,M1,Southbound,TRUE,TRUE,TRUE,TRUE,TRUE,,24 Hours | Service Area | Adblue | EV Charging Bay | Toilet | Burger King | Braeburn | Bakewell | Ice Cream | Car Wash | Brushwash Machine,https://locations.applegreen.com/locations/m1-lusk-south,applegreen.html
M4 Enfield East,Applegreen,"Applegreen Enfield M4 Eastbound, Enfield",53.4132514,-6.8822139,M4,Eastbound,TRUE,TRUE,TRUE,TRUE,TRUE,,24 Hours | Service Area | Adblue | EV Charging Bay | Toilet | Burger King | Braeburn | Bakewell | Subway | Ice Cream | Car Wash | Brushwash Machine,https://locations.applegreen.com/locations/m4-enfield-east,applegreen.html
M4 Enfield West,Applegreen,"M4 W, Martinstown, Co. Meath, Cadamstown",53.4115957,-6.8762645,M4,Westbound,TRUE,TRUE,TRUE,TRUE,TRUE,,24 Hours | Service Area | Adblue | EV Charging Bay | Toilet | Chopstix | Burger King | Braeburn | Bakewell | Ice Cream | Car Wash | Brushwash Machine,https://locations.applegreen.com/locations/m4-enfield-west,applegreen.html
