operator,brand_or_site,network,country_scope,plan_or_tariff,charger_type,min_power_kw,max_power_kw,price_per_kwh,currency,under_0_50_eur_per_kwh,monthly_fee,session_or_access_fee,overstay_or_idle_fee,payment_method,source_url,source_type,valid_from_or_source_date,retrieved_date,confidence,notes
ESB ecars,ESB ecars,ESB ecars,Republic of Ireland,Membership,Standard AC,0,22,0.54,EUR,FALSE,€4.79/month; 12 month minimum term,,€0.50/min after 45 min on Fast/High Power; after 10h on Standard; max €22.50,App/RFID/web/contactless where supported,https://esb.ie/what-we-do/ecars/price-plans,official,2025-07-30,2026-04-30,High,All prices include VAT at 9%. Contactless rates published as same as PAYG; verify availability by charger.
ESB ecars,ESB ecars,ESB ecars,Republic of Ireland,Membership,Fast DC,22,100,0.59,EUR,FALSE,€4.79/month; 12 month minimum term,,€0.50/min after 45 min on Fast/High Power; after 10h on Standard; max €22.50,App/RFID/web/contactless where supported,https://esb.ie/what-we-do/ecars/price-plans,official,2025-07-30,2026-04-30,High,All prices include VAT at 9%. Contactless rates published as same as PAYG; verify availability by charger.
ESB ecars,ESB ecars,ESB ecars,Republic of Ireland,Membership,High Power DC,150,,0.61,EUR,FALSE,€4.79/month; 12 month minimum term,,€0.50/min after 45 min on Fast/High Power; after 10h on Standard; max €22.50,App/RFID/web/contactless where supported,https://esb.ie/what-we-do/ecars/price-plans,official,2025-07-30,2026-04-30,High,All prices include VAT at 9%. Contactless rates published as same as PAYG; verify availability by charger.
ESB ecars,ESB ecars,ESB ecars,Republic of Ireland,Pay As You Go,Standard AC,0,22,0.59,EUR,FALSE,,,€0.50/min after 45 min on Fast/High Power; after 10h on Standard; max €22.50,App/RFID/web/contactless where supported,https://esb.ie/what-we-do/ecars/price-plans,official,2025-07-30,2026-04-30,High,All prices include VAT at 9%. Contactless rates published as same as PAYG; verify availability by charger.
ESB ecars,ESB ecars,ESB ecars,Republic of Ireland,Pay As You Go,Fast DC,22,100,0.64,EUR,FALSE,,,€0.50/min after 45 min on Fast/High Power; after 10h on Standard; max €22.50,App/RFID/web/contactless where supported,https://esb.ie/what-we-do/ecars/price-plans,official,2025-07-30,2026-04-30,High,All prices include VAT at 9%. Contactless rates published as same as PAYG; verify availability by charger.
ESB ecars,ESB ecars,ESB ecars,Republic of Ireland,Pay As You Go,High Power DC,150,,0.66,EUR,FALSE,,,€0.50/min after 45 min on Fast/High Power; after 10h on Standard; max €22.50,App/RFID/web/contactless where supported,https://esb.ie/what-we-do/ecars/price-plans,official,2025-07-30,2026-04-30,High,All prices include VAT at 9%. Contactless rates published as same as PAYG; verify availability by charger.
ESB ecars,ESB ecars,ESB ecars,Republic of Ireland,Contactless / one-time payment,Standard AC,0,22,0.59,EUR,FALSE,,,€0.50/min after 45 min on Fast/High Power; after 10h on Standard; max €22.50,App/RFID/web/contactless where supported,https://esb.ie/what-we-do/ecars/price-plans,official,2025-07-30,2026-04-30,High,All prices include VAT at 9%. Contactless rates published as same as PAYG; verify availability by charger.
ESB ecars,ESB ecars,ESB ecars,Republic of Ireland,Contactless / one-time payment,Fast DC,22,100,0.64,EUR,FALSE,,,€0.50/min after 45 min on Fast/High Power; after 10h on Standard; max €22.50,App/RFID/web/contactless where supported,https://esb.ie/what-we-do/ecars/price-plans,official,2025-07-30,2026-04-30,High,All prices include VAT at 9%. Contactless rates published as same as PAYG; verify availability by charger.
ESB ecars,ESB ecars,ESB ecars,Republic of Ireland,Contactless / one-time payment,High Power DC,150,,0.66,EUR,FALSE,,,€0.50/min after 45 min on Fast/High Power; after 10h on Standard; max €22.50,App/RFID/web/contactless where supported,https://esb.ie/what-we-do/ecars/price-plans,official,2025-07-30,2026-04-30,High,All prices include VAT at 9%. Contactless rates published as same as PAYG; verify availability by charger.
ePower,ePower,ePower,Republic of Ireland,eVeryday discounted rate,AC,0,22,0.47,EUR,TRUE,,,,ePower app,https://www.epower.ie/everyday/,official,,2026-04-30,High,Rates apply to ePower chargers; other charge point prices vary and are shown in app.
ePower,ePower,ePower,Republic of Ireland,eVeryday discounted rate,DC,22,100,0.66,EUR,FALSE,,,,ePower app,https://www.epower.ie/everyday/,official,,2026-04-30,High,Rates apply to ePower chargers; other charge point prices vary and are shown in app.
