region,operator,network_or_brand,tariff_or_plan,access_method,charger_category,power_kw_min,power_kw_max,currency,price_per_kwh,under_0_50_gbp_per_kwh,monthly_fee_gbp,connection_or_holding_fee_gbp,overstay_fee,source_url,source_quality,last_checked,notes
Northern Ireland,ESB ecars,ecarNI / ESB ecars,Membership,ecar connect app/RFID,Fast,0,22,GBP,0.462,TRUE,4.99,,"GBP 0.50/min after 45 min on Rapid & High Power, after 10h on Fast; max GBP 22.50",https://esb.ie/what-we-do/ecars/price-plans,high,2026-04-30,"NI prices official; contactless rates stated as same as PAYG. Fast is <22kW on ESB NI wording."
Northern Ireland,ESB ecars,ecarNI / ESB ecars,Membership,ecar connect app/RFID,Rapid,22,100,GBP,0.543,FALSE,4.99,,"GBP 0.50/min after 45 min on Rapid & High Power, after 10h on Fast; max GBP 22.50",https://esb.ie/what-we-do/ecars/price-plans,high,2026-04-30,NI prices official.
Northern Ireland,ESB ecars,ecarNI / ESB ecars,Membership,ecar connect app/RFID,High Power,150,,GBP,0.631,FALSE,4.99,,"GBP 0.50/min after 45 min on Rapid & High Power, after 10h on Fast; max GBP 22.50",https://esb.ie/what-we-do/ecars/price-plans,high,2026-04-30,NI prices official.
Northern Ireland,ESB ecars,ecarNI / ESB ecars,Pay As You Go,app/RFID,Fast,0,22,GBP,0.490,TRUE,,,"GBP 0.50/min after 45 min on Rapid & High Power, after 10h on Fast; max GBP 22.50",https://esb.ie/what-we-do/ecars/price-plans,high,2026-04-30,NI prices official.
Northern Ireland,ESB ecars,ecarNI / ESB ecars,Pay As You Go,app/RFID,Rapid,22,100,GBP,0.577,FALSE,,,"GBP 0.50/min after 45 min on Rapid & High Power, after 10h on Fast; max GBP 22.50",https://esb.ie/what-we-do/ecars/price-plans,high,2026-04-30,NI prices official.
Northern Ireland,ESB ecars,ecarNI / ESB ecars,Pay As You Go,app/RFID,High Power,150,,GBP,0.670,FALSE,,,"GBP 0.50/min after 45 min on Rapid & High Power, after 10h on Fast; max GBP 22.50",https://esb.ie/what-we-do/ecars/price-plans,high,2026-04-30,NI prices official.
Northern Ireland,ESB ecars,ecarNI / ESB ecars,One Time Payment / Contactless,contactless/card,Fast,0,22,GBP,0.490,TRUE,,,"GBP 0.50/min after 45 min on Rapid & High Power, after 10h on Fast; max GBP 22.50",https://esb.ie/what-we-do/ecars/price-plans,high,2026-04-30,Contactless rates stated as same as PAYG.
Northern Ireland,ESB ecars,ecarNI / ESB ecars,One Time Payment / Contactless,contactless/card,Rapid,22,100,GBP,0.577,FALSE,,,"GBP 0.50/min after 45 min on Rapid & High Power, after 10h on Fast; max GBP 22.50",https://esb.ie/what-we-do/ecars/price-plans,high,2026-04-30,Contactless rates stated as same as PAYG.
Northern Ireland,ESB ecars,ecarNI / ESB ecars,One Time Payment / Contactless,contactless/card,High Power,150,,GBP,0.670,FALSE,,,"GBP 0.50/min after 45 min on Rapid & High Power, after 10h on Fast; max GBP 22.50",https://esb.ie/what-we-do/ecars/price-plans,high,2026-04-30,Contactless rates stated as same as PAYG.
Northern Ireland,Weev,Weev,My Weev App,app/fob,AC,7,11,GBP,0.44,TRUE,,GBP 1 pre-authorisation using My Weev App,"GBP 0.50/min after 65 min on Rapid/Ultra Rapid; night-rate overstay after 4h on Rapid/Ultra Rapid",https://weev.ie/our-network/driver-resources/our-tariffs,high,2026-04-30,Official tariff page covers Northern Ireland and Republic of Ireland.
Northern Ireland,Weev,Weev,My Weev App,app/fob,Rapid,24,60,GBP,0.59,FALSE,,GBP 1 pre-authorisation using My Weev App,"GBP 0.50/min after 65 min on Rapid/Ultra Rapid; night-rate overstay after 4h on Rapid/Ultra Rapid",https://weev.ie/our-network/driver-resources/our-tariffs,high,2026-04-30,"Official tariff page; Rapid row notes a GBP 0.04 saving on 24kW."
Northern Ireland,Weev,Weev,My Weev App,app/fob,Ultra Rapid,100,,GBP,0.69,FALSE,,GBP 1 pre-authorisation using My Weev App,"GBP 0.50/min after 65 min on Rapid/Ultra Rapid; night-rate overstay after 4h on Rapid/Ultra Rapid",https://weev.ie/our-network/driver-resources/our-tariffs,high,2026-04-30,Official tariff page.
Northern Ireland,Weev,Weev,Contactless,contactless/card,AC,7,11,GBP,0.49,TRUE,,"GBP 50 contactless holding fee, refunded by bank later","GBP 0.50/min after 65 min on Rapid/Ultra Rapid; night-rate overstay after 4h on Rapid/Ultra Rapid",https://weev.ie/our-network/driver-resources/our-tariffs,high,2026-04-30,Official tariff page.
Northern Ireland,Weev,Weev,Contactless,contactless/card,Rapid,24,60,GBP,0.64,FALSE,,"GBP 50 contactless holding fee, refunded by bank later","GBP 0.50/min after 65 min on Rapid/Ultra Rapid; night-rate overstay after 4h on Rapid/Ultra Rapid",https://weev.ie/our-network/driver-resources/our-tariffs,high,2026-04-30,Official tariff page.
Northern Ireland,Weev,Weev,Contactless,contactless/card,Ultra Rapid,100,,GBP,0.74,FALSE,,"GBP 50 contactless holding fee, refunded by bank later","GBP 0.50/min after 65 min on Rapid/Ultra Rapid; night-rate overstay after 4h on Rapid/Ultra Rapid",https://weev.ie/our-network/driver-resources/our-tariffs,high,2026-04-30,Official tariff page.
United Kingdom incl. Northern Ireland where available,InstaVolt,InstaVolt,Standard,all drivers,Rapid/Ultra Rapid,,,GBP,0.70,FALSE,,,,https://instavolt.co.uk/news/new-off-peak-55p-kwh/,medium,2026-04-30,"UK-wide published rate; verify exact NI site coverage in app/Zapmap."
United Kingdom incl. Northern Ireland where available,InstaVolt,InstaVolt,App daytime,InstaVolt app,Rapid/Ultra Rapid,,,GBP,0.65,FALSE,,,,https://instavolt.co.uk/news/new-off-peak-55p-kwh/,medium,2026-04-30,"App-user daytime rate; UK-wide; verify exact NI site coverage."
United Kingdom incl. Northern Ireland where available,InstaVolt,InstaVolt,App off-peak 20:00-07:00,InstaVolt app,Rapid/Ultra Rapid,,,GBP,0.55,FALSE,,,,https://instavolt.co.uk/news/new-off-peak-55p-kwh/,medium,2026-04-30,"App-user off-peak rate between 8pm and 7am; UK-wide; verify exact NI site coverage."
United Kingdom incl. Northern Ireland where available,IONITY,IONITY,Power monthly,IONITY app subscription,High Power / Ultra Rapid,,,GBP,0.46,TRUE,10.50,,,https://www.ionity.eu/subscriptions,high,2026-04-30,"Official UK subscription table; also lists annual fee GBP 104.99 or discounted GBP 86.99/year."
United Kingdom incl. Northern Ireland where available,IONITY,IONITY,Motion monthly,IONITY app subscription,High Power / Ultra Rapid,,,GBP,0.58,FALSE,5.49,,,https://www.ionity.eu/subscriptions,high,2026-04-30,"Official UK subscription table; also lists annual fee GBP 54.99 or discounted GBP 45.99/year."
United Kingdom incl. Northern Ireland where available,IONITY,IONITY,Go,IONITY app no monthly subscription,High Power / Ultra Rapid,,,GBP,0.77,FALSE,,,,https://www.ionity.eu/subscriptions,high,2026-04-30,Official UK country pricing table.
United Kingdom incl. Northern Ireland where available,IONITY,IONITY,Direct,QR/contactless/direct,High Power / Ultra Rapid,,,GBP,0.81,FALSE,,,,https://www.ionity.eu/subscriptions,high,2026-04-30,Official UK country pricing table.
